latitude,longitude,neo_altitude,num_satellites,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.36852833333333,-70.69031833333334,531.2,06,27.45,28.68,47.0,959.04,0.03,"15/02, 16:25:28"
-33.36836,-70.69029666666667,513.2,05,27.47,28.64,47.17,959.06,-0.0,"15/02, 16:25:39"
-33.368291666666664,-70.69027833333334,505.1,05,27.49,28.67,47.37,959.04,0.0,"15/02, 16:25:50"
-33.36824,-70.69028,515.8,06,27.52,28.73,47.47,959.05,-0.04,"15/02, 16:26:01"
-33.368611666666666,-70.69033166666667,510.4,05,27.59,28.8,47.66,959.08,0.0,"15/02, 16:26:11"
-33.368793333333336,-70.69036333333334,512.1,04,27.65,28.9,47.66,959.06,0.0,"15/02, 16:26:22"
-33.36884333333333,-70.69035,510.2,04,27.68,28.93,47.27,959.02,0.01,"15/02, 16:26:32"
-33.368703333333336,-70.69031666666666,534.9,04,27.71,28.96,47.27,959.04,0.08,"15/02, 16:26:42"
-33.36866,-70.69033,530.0,04,27.77,29.04,47.25,959.07,0.0,"15/02, 16:26:53"
-33.368633333333335,-70.69029166666667,529.5,05,27.77,29.07,46.75,959.05,0.0,"15/02, 16:27:03"
-33.36848833333333,-70.690285,529.7,05,27.83,29.1,46.66,959.07,0.01,"15/02, 16:27:13"
-33.368458333333336,-70.69026666666667,538.0,05,27.86,29.15,46.55,959.06,0.09,"15/02, 16:27:23"
-33.368518333333334,-70.69028666666667,537.9,05,27.87,29.16,46.66,959.03,-0.0,"15/02, 16:27:34"
-33.36846833333333,-70.69025833333333,541.1,05,27.93,29.24,46.75,959.06,-0.01,"15/02, 16:27:45"
-33.368433333333336,-70.690275,539.3,05,27.96,29.27,46.63,959.08,0.08,"15/02, 16:27:56"
-33.368435,-70.69028,537.9,06,27.96,29.26,46.53,959.08,-0.06,"15/02, 16:28:06"
-33.368385,-70.69027833333334,532.5,04,28.04,29.31,46.73,959.11,-0.0,"15/02, 16:28:17"
-33.368315,-70.690295,530.9,05,27.98,29.29,46.73,959.12,-0.01,"15/02, 16:28:27"
